family,family_size,action,old_finish,old_handle,new_finish,new_handle
TPK_T:dakota angle pull 3 3/4'' cc,7,RETAG,Brushed Satin Nickel,dakota-angle-pull-3-3-4-cc-m1903-brushed-satin-nickel,Oil Rubbed Bronze,dakota-angle-pull-3-3-4-cc-m1236-oil-rubbed-bronze
TPK_T:dakota angle pull 3'' cc,10,RETAG,Polished Chrome,dakota-angle-pull-3-cc-m1727-polished-chrome,Oil Rubbed Bronze,dakota-angle-pull-3-cc-m1730-oil-rubbed-bronze
TPK_T:dakota angle pull 5 1/16'',1,kept,Flat Black,top-knobs-m1679-dakota-angle-pull-5-1,Flat Black,top-knobs-m1679-dakota-angle-pull-5-1
TPK_T:dakota angle pull 5 1/16'' cc,6,kept,Oil Rubbed Bronze,dakota-angle-pull-5-1-16-cc-m1239-oil-rubbed-bronze,Oil Rubbed Bronze,dakota-angle-pull-5-1-16-cc-m1239-oil-rubbed-bronze
TPK_T:dakota arc pull 3'' cc,6,RETAG,Polished Nickel,dakota-arc-pull-3-cc-m1923-polished-nickel,Oil Rubbed Bronze,dakota-arc-pull-3-cc-m1215-oil-rubbed-bronze
TPK_T:dakota arc pull 4'' cc,6,RETAG,Polished Nickel,dakota-arc-pull-4-cc-m1927-polished-nickel,Oil Rubbed Bronze,dakota-arc-pull-4-cc-m1212-oil-rubbed-bronze
TPK_T:dakota bergen knob 1 1/4'',4,RETAG,Polished Chrome,dakota-bergen-knob-1-1-4-m1121-polished-chrome,Oil Rubbed Bronze,dakota-bergen-knob-1-1-4-m1200-oil-rubbed-bronze
TPK_T:dakota bit appliance pull 12 inch,12,RETAG,Brushed Satin Nickel,top-knobs-m2770-dakota-bit-appliance-pull-12-inch-brushed-satin-nickel,Oil Rubbed Bronze,top-knobs-m2774-dakota-bit-appliance-pull-12-inch-oil-rubbed-bronze
TPK_T:dakota bit appliance pull 18 inch,12,RETAG,Brushed Satin Nickel,top-knobs-m2782-dakota-bit-appliance-pull-18-inch-brushed-satin-nickel,Oil Rubbed Bronze,top-knobs-m2786-dakota-bit-appliance-pull-18-inch-oil-rubbed-bronze
TPK_T:dakota bit pull 12 inch,12,RETAG,Polished Chrome,top-knobs-m2756-dakota-bit-pull-12-inch-polished-chrome,Oil Rubbed Bronze,top-knobs-m2762-dakota-bit-pull-12-inch-oil-rubbed-bronze
TPK_T:dakota bit pull 3 3/4 inch,8,kept,Honey Bronze,top-knobs-m2833-dakota-bit-pull-3-3,Honey Bronze,top-knobs-m2833-dakota-bit-pull-3-3
TPK_T:dakota bit pull 3 3/4'' cc,4,kept,Oil Rubbed Bronze,dakota-bit-pull-3-3-4-cc-m1197-oil-rubbed-bronze,Oil Rubbed Bronze,dakota-bit-pull-3-3-4-cc-m1197-oil-rubbed-bronze
