family_root,product_handle,sku,title,vendor,finish_name,was_tagged_primary,family_size,family_finishes_json_truncated
ATL:284,atlas-homewares-284-brn-trocadero-pull-6-5,ATL-284-BRN,Trocadero Pull 6 5/16'' cc Brushed Nickel 284-BRN,Atlas Homewares,Brushed Nickel,yes,4,"[{""name"":""Brushed Nickel"",""handle"":""atlas-homewares-284-brn-trocadero-pull-6-5""},{""name"":""Pewter"",""handle"":""atlas-homewares-284-p-trocadero-pull-6-5""},{""name"":""Polished Nickel"",""handle"":""atlas-home..."
ATL:284,atlas-homewares-284-p-trocadero-pull-6-5,ATL-284-P,Trocadero Pull 6 5/16'' cc Pewter 284-P,Atlas Homewares,Pewter,no,4,"[{""name"":""Brushed Nickel"",""handle"":""atlas-homewares-284-brn-trocadero-pull-6-5""},{""name"":""Pewter"",""handle"":""atlas-homewares-284-p-trocadero-pull-6-5""},{""name"":""Polished Nickel"",""handle"":""atlas-home..."
ATL:284,atlas-homewares-284-pn-trocadero-pull-6-5,ATL-284-PN,Trocadero Pull 6 5/16'' cc Polished Nickel 284-PN,Atlas Homewares,Polished Nickel,no,4,"[{""name"":""Brushed Nickel"",""handle"":""atlas-homewares-284-brn-trocadero-pull-6-5""},{""name"":""Pewter"",""handle"":""atlas-homewares-284-p-trocadero-pull-6-5""},{""name"":""Polished Nickel"",""handle"":""atlas-home..."
ATL:284,atlas-homewares-284-vb-trocadero-pull-6-5,ATL-284-VB,Trocadero Pull 6 5/16'' cc Venetian Bronze 284-VB,Atlas Homewares,Venetian Bronze,no,4,"[{""name"":""Brushed Nickel"",""handle"":""atlas-homewares-284-brn-trocadero-pull-6-5""},{""name"":""Pewter"",""handle"":""atlas-homewares-284-p-trocadero-pull-6-5""},{""name"":""Polished Nickel"",""handle"":""atlas-home..."
ATL:285,atlas-homewares-285-brn-trocadero-pull-7-1,ATL-285-BRN,Trocadero Pull 7 1/2'' cc Brushed Nickel 285-BRN,Atlas Homewares,Brushed Nickel,yes,4,"[{""name"":""Brushed Nickel"",""handle"":""atlas-homewares-285-brn-trocadero-pull-7-1""},{""name"":""Pewter"",""handle"":""atlas-homewares-285-p-trocadero-pull-7-1""},{""name"":""Polished Nickel"",""handle"":""atlas-home..."
ATL:285,atlas-homewares-285-p-trocadero-pull-7-1,ATL-285-P,Trocadero Pull 7 1/2'' cc Pewter 285-P,Atlas Homewares,Pewter,no,4,"[{""name"":""Brushed Nickel"",""handle"":""atlas-homewares-285-brn-trocadero-pull-7-1""},{""name"":""Pewter"",""handle"":""atlas-homewares-285-p-trocadero-pull-7-1""},{""name"":""Polished Nickel"",""handle"":""atlas-home..."
ATL:285,atlas-homewares-285-pn-trocadero-pull-7-1,ATL-285-PN,Trocadero Pull 7 1/2'' cc Polished Nickel 285-PN,Atlas Homewares,Polished Nickel,no,4,"[{""name"":""Brushed Nickel"",""handle"":""atlas-homewares-285-brn-trocadero-pull-7-1""},{""name"":""Pewter"",""handle"":""atlas-homewares-285-p-trocadero-pull-7-1""},{""name"":""Polished Nickel"",""handle"":""atlas-home..."
ATL:285,atlas-homewares-285-vb-trocadero-pull-7-1,ATL-285-VB,Trocadero Pull 7 1/2'' cc Venetian Bronze 285-VB,Atlas Homewares,Venetian Bronze,no,4,"[{""name"":""Brushed Nickel"",""handle"":""atlas-homewares-285-brn-trocadero-pull-7-1""},{""name"":""Pewter"",""handle"":""atlas-homewares-285-p-trocadero-pull-7-1""},{""name"":""Polished Nickel"",""handle"":""atlas-home..."
ATL:286,atlas-homewares-286-o-olde-world-knob-1-aged-bronze,ATL-286-O,Olde World Knob 1'' Aged Bronze 286-O,Atlas Homewares,Aged Bronze,yes,4,"[{""name"":""Aged Bronze"",""handle"":""atlas-homewares-286-o-olde-world-knob-1-aged-bronze""},{""name"":""Pewter"",""handle"":""atlas-homewares-286-p-olde-world-knob-1-pewter""},{""name"":""Rust"",""handle"":""atlas-hom..."
ATL:286,atlas-homewares-286-p-olde-world-knob-1-pewter,ATL-286-P,Olde World Knob 1'' Pewter 286-P,Atlas Homewares,Pewter,no,4,"[{""name"":""Aged Bronze"",""handle"":""atlas-homewares-286-o-olde-world-knob-1-aged-bronze""},{""name"":""Pewter"",""handle"":""atlas-homewares-286-p-olde-world-knob-1-pewter""},{""name"":""Rust"",""handle"":""atlas-hom..."
ATL:286,atlas-homewares-286-r-olde-world-knob-1-rust,ATL-286-R,Olde World Knob 1'' Rust 286-R,Atlas Homewares,Rust,no,4,"[{""name"":""Aged Bronze"",""handle"":""atlas-homewares-286-o-olde-world-knob-1-aged-bronze""},{""name"":""Pewter"",""handle"":""atlas-homewares-286-p-olde-world-knob-1-pewter""},{""name"":""Rust"",""handle"":""atlas-hom..."
ATL:286,atlas-homewares-286-vb-olde-world-knob-1-venetian-bronze,ATL-286-VB,Olde World Knob 1'' Venetian Bronze 286-VB,Atlas Homewares,Venetian Bronze,no,4,"[{""name"":""Aged Bronze"",""handle"":""atlas-homewares-286-o-olde-world-knob-1-aged-bronze""},{""name"":""Pewter"",""handle"":""atlas-homewares-286-p-olde-world-knob-1-pewter""},{""name"":""Rust"",""handle"":""atlas-hom..."
ATL:287,atlas-homewares-287-o-olde-world-pull-7-9,ATL-287-O,Olde World Pull 7 9/16'' cc Aged Bronze 287-O,Atlas Homewares,Aged Bronze,yes,4,"[{""name"":""Aged Bronze"",""handle"":""atlas-homewares-287-o-olde-world-pull-7-9""},{""name"":""Pewter"",""handle"":""atlas-homewares-287-p-olde-world-pull-7-9""},{""name"":""Rust"",""handle"":""atlas-homewares-287-r-ol..."
ATL:287,atlas-homewares-287-p-olde-world-pull-7-9,ATL-287-P,Olde World Pull 7 9/16'' cc Pewter 287-P,Atlas Homewares,Pewter,no,4,"[{""name"":""Aged Bronze"",""handle"":""atlas-homewares-287-o-olde-world-pull-7-9""},{""name"":""Pewter"",""handle"":""atlas-homewares-287-p-olde-world-pull-7-9""},{""name"":""Rust"",""handle"":""atlas-homewares-287-r-ol..."
ATL:287,atlas-homewares-287-r-olde-world-pull-7-9,ATL-287-R,Olde World Pull 7 9/16'' cc Rust 287-R,Atlas Homewares,Rust,no,4,"[{""name"":""Aged Bronze"",""handle"":""atlas-homewares-287-o-olde-world-pull-7-9""},{""name"":""Pewter"",""handle"":""atlas-homewares-287-p-olde-world-pull-7-9""},{""name"":""Rust"",""handle"":""atlas-homewares-287-r-ol..."
ATL:287,atlas-homewares-287-vb-olde-world-pull-7-9,ATL-287-VB,Olde World Pull 7 9/16'' cc Venetian Bronze 287-VB,Atlas Homewares,Venetian Bronze,no,4,"[{""name"":""Aged Bronze"",""handle"":""atlas-homewares-287-o-olde-world-pull-7-9""},{""name"":""Pewter"",""handle"":""atlas-homewares-287-p-olde-world-pull-7-9""},{""name"":""Rust"",""handle"":""atlas-homewares-287-r-ol..."
ATL:288-BL,atlas-homewares-288-bl-brn-zanzibar-black-leather-knob-1-7,ATL-288-BL-BRN,Zanzibar Black Leather Knob 1 7/8'' Brushed Nickel 288-BL-BRN,Atlas Homewares,Brushed Nickel,no,3,"[{""name"":""Brushed Nickel"",""handle"":""atlas-homewares-288-bl-brn-zanzibar-black-leather-knob-1-7""},{""name"":""Polished Chrome"",""handle"":""atlas-homewares-288-bl-ch-zanzibar-black-leather-knob-1-7""},{""na..."
